GW Freq,Strain UL,Strain UL Err,Auto
6.7311e-08,8.164357e-14,3.926138e-15,378.27
6.9024e-08,6.884909e-14,3.221116e-15,195.49
7.0756e-08,9.632460e-14,5.781852e-15,182.34
7.2508e-08,8.453164e-14,4.695123e-15,195.95
7.4278e-08,7.826208e-14,3.219136e-15,137.12
7.6069e-08,7.681808e-14,5.249000e-15,196.42
7.7879e-08,7.934546e-14,3.065473e-15,105.87
7.9709e-08,8.980212e-14,4.300953e-15,146.25
8.1559e-08,7.048807e-14,2.749373e-15, 98.39
 8.343e-08,1.307037e-13,1.018473e-14,400.39
8.5322e-08,1.278495e-13,7.468390e-15,361.41
8.7234e-08,9.707082e-14,4.680029e-15,393.38
8.9168e-08,1.015185e-13,3.474631e-15,180.28
9.1123e-08,1.183869e-13,6.205998e-15,238.57
9.3099e-08,2.374708e-13,1.556268e-14,833.93
9.5097e-08,1.103439e-13,6.329351e-15,380.52
9.7118e-08,9.769677e-14,6.192115e-15,285.21
 9.916e-08,1.252564e-13,1.081066e-14,554.07
1.0123e-07,1.207459e-13,6.889829e-15,214.57
1.0331e-07,1.936445e-13,9.034801e-15,369.18
1.0543e-07,2.073069e-13,1.604938e-14,689.36
1.0756e-07,1.600350e-13,9.437142e-15,588.65
1.0972e-07,1.260411e-13,5.466096e-15,213.33
 1.119e-07,9.287121e-14,4.304030e-15,130.84
1.1411e-07,1.081580e-13,6.445340e-15,331.99
1.1634e-07,1.150070e-13,7.262552e-15,260.48
1.1859e-07,1.043342e-13,3.918051e-15,112.30
1.2087e-07,1.112821e-13,8.235130e-15,287.10
1.2318e-07,1.096756e-13,5.250424e-15,310.22
1.2551e-07,1.539434e-13,8.757363e-15,192.61
1.2786e-07,2.626048e-13,2.452696e-14,792.85
1.3025e-07,2.119356e-13,1.468152e-14,432.03
1.3265e-07,1.755154e-13,8.605778e-15,190.73
1.3509e-07,2.397464e-13,9.052411e-15,245.31
1.3755e-07,2.353383e-13,2.316079e-14,668.15
1.4004e-07,2.114199e-13,1.549821e-14,370.80
1.4256e-07,2.059665e-13,1.276144e-14,378.71
 1.451e-07,1.823645e-13,1.116419e-14,373.02
1.4768e-07,2.105137e-13,1.040804e-14,286.45
1.5028e-07,1.606619e-13,6.065066e-15,242.72
1.5291e-07,5.830978e-13,3.675439e-14,1103.14
1.5557e-07,5.829569e-13,2.583354e-14,859.62
1.5826e-07,6.866460e-13,3.742836e-14,1528.73
1.6101e-07,3.173138e-13,1.682002e-14,439.89
1.6376e-07,3.301181e-13,7.403594e-15, 80.44
1.6651e-07,9.928745e-13,2.348999e-14,570.83
1.6926e-07,5.987628e-13,2.396573e-14,843.31
1.7201e-07,1.044902e-12,5.636380e-14,3474.55
1.7476e-07,7.631224e-13,6.105338e-14,2821.58
1.7751e-07,3.910846e-13,1.294391e-14,513.61
1.8026e-07,4.295697e-13,3.435015e-14,1413.32
1.8301e-07,3.067008e-13,2.272943e-14,617.47
1.8576e-07,2.750695e-13,2.781769e-14,570.76
1.8851e-07,2.754999e-13,9.079216e-15,198.14
1.9126e-07,2.953094e-13,2.438023e-14,1954.96
1.9401e-07,2.956671e-13,2.494861e-14,295.23
1.9676e-07,4.050080e-13,3.306457e-14,769.71
1.9951e-07,2.592205e-13,3.673836e-14,1078.80
2.0226e-07,3.435154e-13,1.783094e-14,392.90
2.0501e-07,2.222982e-13,1.620562e-14,324.36
2.0776e-07,2.278058e-13,1.250075e-14,442.16
2.1051e-07,6.819454e-13,7.697889e-14,3875.57
2.1326e-07,4.771241e-13,7.643549e-14,868.91
2.1601e-07,2.999494e-13,1.585526e-14,257.97
2.1876e-07,2.580293e-13,1.004100e-14,316.39
2.2151e-07,2.964246e-13,4.175576e-14,1323.19
2.2426e-07,3.325931e-13,2.874811e-14,494.00
2.2701e-07,2.849871e-13,1.975940e-14,683.46
2.2976e-07,2.445391e-13,4.042007e-14,1397.27
2.3251e-07,2.793227e-13,2.526939e-14,529.48
2.3526e-07,4.301028e-13,3.260226e-14,925.96
2.3801e-07,2.483502e-13,2.237020e-14,942.46
2.4076e-07,2.328318e-13,2.418602e-14,637.39
2.4351e-07,3.503541e-13,2.815008e-14,283.24
2.4626e-07,1.244071e-13,3.485187e-15,203.83
2.4901e-07,5.863013e-13,3.977926e-14,1702.53
2.5176e-07,6.438348e-13,2.095728e-14,855.16
2.5451e-07,2.636060e-13,3.479660e-14,1878.12
2.5726e-07,5.549176e-13,1.013242e-13,2322.79
2.6001e-07,4.853241e-13,3.832455e-14,1358.14
2.6276e-07,4.252804e-13,3.637612e-14,1625.47
2.6551e-07,3.849589e-13,1.236077e-14,1757.06
2.6826e-07,6.733534e-13,7.802640e-15,3775.31
2.7101e-07,3.472261e-13,7.862653e-14,1277.34
2.7376e-07,2.738044e-13,8.781552e-15,891.06
2.7651e-07,6.017076e-13,1.438917e-13,2379.19
2.7926e-07,2.761119e-13,1.789668e-14,604.01
2.8201e-07,3.552062e-13,3.048740e-14,1941.42
2.8476e-07,2.404732e-13,1.711734e-14,854.93
2.8751e-07,2.819712e-13,2.057466e-14,397.62
2.9026e-07,2.836475e-13,1.668382e-14,418.56
2.9301e-07,3.027428e-13,2.332408e-14,560.43
2.9576e-07,5.925618e-13,1.499953e-13,2863.75
2.9851e-07,2.938869e-13,3.592603e-14,1545.58
3.0126e-07,2.630091e-13,1.686887e-14,348.84
3.0401e-07,2.305648e-13,7.724819e-15,185.80
3.0676e-07,2.731638e-13,2.650276e-14,457.80
3.0951e-07,2.754714e-13,3.545344e-14,579.94
3.1226e-07,5.720458e-13,4.039274e-14,1888.15
3.1501e-07,2.626282e-13,1.594122e-14,2322.26
3.1776e-07,3.167489e-13,4.479197e-14,1525.68
