GW Freq,Strain UL,Strain UL Err,Auto,Auto Error
8.1559e-08,6.750236e-14,1.218422e-15,352.33,6.783659e-14
 8.343e-08,6.015734e-14,1.744598e-15,361.76,5.862514e-14
8.5322e-08,5.124761e-14,2.335690e-15,568.96,4.853951e-14
8.7234e-08,3.491190e-14,2.078313e-15,650.45,3.639501e-14
8.9168e-08,2.284881e-14,9.888032e-16,105.44,2.296354e-14
9.1123e-08,2.754477e-14,1.126649e-15,122.14,2.782839e-14
9.3099e-08,2.828406e-14,1.376318e-15,432.08,2.668640e-14
9.5097e-08,3.010494e-14,1.350666e-15,253.09,2.967019e-14
9.7118e-08,3.663159e-14,2.898427e-15,234.85,3.451673e-14
 9.916e-08,3.222540e-14,2.224324e-15,305.81,3.190842e-14
1.0123e-07,2.371464e-14,1.027898e-15,217.01,2.281160e-14
1.0331e-07,2.764506e-14,1.280400e-15,216.54,2.732110e-14
1.0543e-07,2.817290e-14,9.872968e-16,109.08,2.809485e-14
1.0756e-07,6.713442e-14,2.456431e-15,531.17,6.365679e-14
1.0972e-07,6.680386e-14,2.710300e-15,297.00,6.614147e-14
 1.119e-07,3.392526e-14,1.804180e-15,307.35,3.479036e-14
1.1411e-07,3.493535e-14,2.174378e-15,257.89,3.362914e-14
1.1634e-07,2.640378e-14,1.454601e-15,200.03,2.538360e-14
1.1859e-07,2.697377e-14,1.142761e-15,218.29,2.644703e-14
1.2087e-07,3.025092e-14,1.467750e-15,223.47,3.089825e-14
1.2318e-07,3.787393e-14,2.861209e-15,747.20,4.114879e-14
1.2551e-07,3.378717e-14,1.412655e-15,143.29,3.284158e-14
1.2786e-07,5.111170e-14,2.050963e-15,394.03,5.089976e-14
1.3025e-07,3.977430e-14,2.760654e-15,628.07,3.926725e-14
1.3265e-07,4.156116e-14,2.844446e-15,408.28,3.892414e-14
1.3509e-07,3.853754e-14,1.706517e-15,255.86,3.694290e-14
1.3755e-07,3.368010e-14,1.583741e-15,199.44,3.412538e-14
1.4004e-07,3.212559e-14,1.368309e-15,215.46,3.219965e-14
1.4256e-07,3.524700e-14,8.907952e-16,124.85,3.501294e-14
 1.451e-07,3.978422e-14,1.685542e-15,258.34,3.915785e-14
1.4768e-07,6.452531e-14,4.348368e-15,634.71,6.140269e-14
1.5028e-07,3.583416e-14,1.544764e-15,193.53,3.367704e-14
1.5291e-07,3.351460e-14,9.720416e-16,64.36,3.453505e-14
1.5557e-07,3.824520e-14,9.316613e-16,118.10,3.839086e-14
1.5826e-07,3.664066e-14,1.137302e-15,161.17,3.597649e-14
1.6101e-07,5.917356e-14,3.157232e-15,386.18,5.909675e-14
1.6376e-07,5.653207e-14,4.678982e-15,221.84,5.312225e-14
1.6651e-07,4.125361e-14,1.873782e-15,283.04,3.886887e-14
1.6926e-07,4.518843e-14,1.785714e-15,310.83,4.572375e-14
1.7201e-07,4.827818e-14,2.510108e-15,268.22,4.727511e-14
1.7476e-07,3.688662e-14,1.322220e-15,149.51,3.643538e-14
1.7751e-07,3.929550e-14,2.017785e-15,214.67,3.874273e-14
1.8026e-07,3.859629e-14,1.850408e-15,178.75,4.103218e-14
1.8301e-07,6.078418e-14,2.737714e-15,283.56,5.828401e-14
1.8576e-07,9.091366e-14,3.216709e-15,331.00,9.039657e-14
1.8851e-07,4.996210e-14,3.174568e-15,214.95,5.042192e-14
1.9126e-07,1.023379e-13,4.291377e-15,442.01,1.055335e-13
1.9401e-07,9.779416e-14,6.950268e-15,834.59,1.026465e-13
1.9676e-07,4.655713e-14,1.719707e-15,156.85,4.475727e-14
1.9951e-07,6.166021e-14,2.064346e-15,283.36,6.071126e-14
2.0226e-07,8.139846e-14,3.733056e-15,860.16,7.940322e-14
2.0501e-07,7.075207e-14,4.152276e-15,504.05,6.908744e-14
2.0776e-07,4.439985e-14,2.919903e-15,224.42,4.483505e-14
2.1051e-07,4.895354e-14,2.825764e-15,260.12,5.039416e-14
2.1326e-07,5.186459e-14,2.703492e-15,350.83,5.522386e-14
2.1601e-07,4.737390e-14,2.233267e-15,215.88,4.800813e-14
2.1876e-07,7.717930e-14,4.508672e-15,482.82,7.432027e-14
2.2151e-07,7.610308e-14,4.781887e-15,559.52,7.238529e-14
2.2426e-07,8.295977e-14,3.378496e-15,529.09,8.366207e-14
2.2701e-07,5.402553e-14,1.815726e-15,188.25,5.587392e-14
2.2976e-07,6.388268e-14,4.567205e-15,406.45,5.820632e-14
2.3251e-07,5.720108e-14,2.518633e-15,156.47,5.830862e-14
2.3526e-07,1.162051e-13,4.688910e-15,575.76,1.151655e-13
2.3801e-07,1.186746e-13,5.076327e-15,402.90,1.194993e-13
2.4076e-07,1.851040e-13,7.275484e-15,3484.71,1.878416e-13
2.4351e-07,1.646739e-13,5.922956e-15,1563.86,1.638810e-13
2.4626e-07,7.997389e-14,6.308411e-15,426.79,8.802815e-14
2.4901e-07,8.295837e-14,3.407516e-15,404.05,8.235603e-14
2.5176e-07,8.161874e-14,4.475892e-15,381.09,8.141453e-14
2.5451e-07,6.534982e-14,4.334747e-15,502.60,6.101398e-14
2.5726e-07,7.761971e-14,5.145775e-15,427.90,7.885596e-14
2.6001e-07,8.249549e-14,3.926639e-15,261.08,8.297343e-14
2.6276e-07,1.190231e-13,8.261924e-15,774.10,1.131743e-13
2.6551e-07,1.522772e-13,6.001316e-15,287.81,1.541727e-13
2.6826e-07,9.127534e-14,5.391897e-15,424.82,9.275552e-14
2.7101e-07,1.255151e-13,7.516440e-15,316.75,1.258991e-13
2.7376e-07,1.790326e-13,8.155885e-15,706.10,1.813587e-13
2.7651e-07,2.246869e-13,1.116151e-14,2447.88,2.227635e-13
2.7926e-07,1.932652e-13,7.273939e-15,1663.42,1.900828e-13
2.8201e-07,2.079394e-13,1.231966e-14,3314.24,2.121796e-13
2.8476e-07,1.859597e-13,8.810840e-15,1287.36,1.806635e-13
2.8751e-07,1.550013e-13,1.452291e-14,1190.41,1.449973e-13
2.9026e-07,1.403777e-13,1.048889e-14,1223.60,1.386538e-13
2.9301e-07,1.408696e-13,5.405938e-15,455.41,1.385803e-13
2.9576e-07,1.152678e-13,4.129211e-15,386.49,1.139118e-13
2.9851e-07,1.047324e-13,7.872056e-15,306.73,1.054425e-13
3.0126e-07,9.395535e-14,3.350274e-15,179.65,9.346152e-14
3.0401e-07,1.031593e-13,6.449827e-15,584.63,1.058145e-13
3.0676e-07,7.981963e-14,3.961518e-15,173.76,8.014031e-14
3.0951e-07,8.401614e-14,5.966769e-15,645.40,8.436168e-14
3.1226e-07,7.961753e-14,2.972951e-15,164.63,7.665445e-14
3.1501e-07,6.954073e-14,3.443792e-15,218.47,6.908312e-14
3.1776e-07,6.773192e-14,4.582984e-15,236.99,6.898836e-14
